hcp_id,first_name,last_name,specialty,segment,territory,city,state,practice_type,account_tenure,opt_out_flag,channel_preference,interaction_count_digital_ad,interaction_count_email,interaction_count_phone_call,interaction_count_rep_visit,interaction_count_webinar,successful_interactions_digital_ad,successful_interactions_email,successful_interactions_phone_call,successful_interactions_rep_visit,successful_interactions_webinar,success_rate_digital_ad,success_rate_email,success_rate_phone_call,success_rate_rep_visit,success_rate_webinar,last_engagement_date_digital_ad,last_engagement_date_email,last_engagement_date_phone_call,last_engagement_date_rep_visit,last_engagement_date_webinar,recency_days_digital_ad,recency_days_email,recency_days_phone_call,recency_days_rep_visit,recency_days_webinar,frequency_score_rep_visit,recency_score_rep_visit,frequency_score_phone_call,recency_score_phone_call,frequency_score_webinar,recency_score_webinar,frequency_score_email,recency_score_email,frequency_score_digital_ad,recency_score_digital_ad,channel_score_rep_visit,channel_score_phone_call,channel_score_webinar,channel_score_email,channel_score_digital_ad,weighted_engagement_score,engagement_rank,engagement_level,recommended_channel,engagement_eligible
1,Danielle,Johnson,endocrinology,medium_value,TERR_19,Nashville,TN,hospital,0.5,False,Digital-Heavy,1.0,10.0,4.0,3.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.2,0.0,0.0,0.4,2025-11-10 10:00:00,2025-10-02 16:00:00,2025-10-16 11:00:00,2025-12-15 08:00:00,2025-12-26 10:00:00,53,92,78,18,7,0.17647058823529413,0.625,0.25,0.2777777777777778,0.5,0.8108108108108107,0.5882352941176471,0.24590163934426232,0.0625,0.3614457831325301,0.17794117647058824,0.13055555555555556,0.5121621621621621,0.3256509161041466,0.09103915662650602,24.44,359,Medium Engagement,webinar,True
2,Joshua,Walker,cardiology,low_value,TERR_40,Detroit,MI,private_practice,3.3,False,In-Person-Heavy,2.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2025-07-23 09:00:00,2025-09-08 16:00:00,2025-09-29 10:00:00,2025-06-18 09:00:00,2025-05-26 16:00:00,163,116,95,198,221,0.058823529411764705,0.13157894736842105,0.1875,0.24000000000000005,0.2,0.1195219123505976,0.17647058823529413,0.2054794520547945,0.125,0.15544041450777202,0.04396284829721362,0.2709166666666667,0.08390438247011953,0.09403706688154714,0.06858808290155441,10.85,491,Low Engagement,phone_call,True
3,Jill,Rhodes,cardiology,medium_value,TERR_21,Tucson,AZ,private_practice,0.8,False,Mixed,15.0,7.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,2025-12-25 08:00:00,2025-09-01 10:00:00,2025-12-11 17:00:00,2025-11-19 13:00:00,2025-10-15 14:00:00,8,123,22,44,79,0.11764705882352941,0.4054054054054054,0.1875,0.5769230769230769,0.3,0.27522935779816515,0.4117647058823529,0.19607843137254904,0.9375,0.7894736842105263,0.3663751987281399,0.17163461538461539,0.14504587155963303,0.1627450980392157,0.4391447368421053,26.35,326,Medium Engagement,digital_ad,True
4,Patricia,Miller,endocrinology,high_value,TERR_25,Arlington,TX,clinic,5.6,False,Digital-Heavy,3.0,6.0,7.0,2.0,8.0,0.0,3.0,2.0,1.0,3.0,0.0,0.5,0.2857142857142857,0.5,0.375,2025-12-18 15:00:00,2025-11-05 09:00:00,2026-01-01 15:00:00,2025-10-22 11:00:00,2025-12-08 11:00:00,15,58,1,72,25,0.11764705882352941,0.29411764705882354,0.4375,0.9677419354838709,0.8,0.5454545454545454,0.35294117647058826,0.3409090909090909,0.1875,0.6666666666666666,0.34411764705882353,0.46765552995391707,0.5365909090909091,0.42406417112299466,0.18958333333333333,39.61,102,Medium Engagement,webinar,True
5,Robert,Johnson,cardiology,low_value,TERR_47,Oakland,CA,hospital,2.7,False,Mixed,1.0,2.0,8.0,12.0,3.0,0.0,1.0,2.0,8.0,3.0,0.0,0.5,0.25,0.6666666666666666,1.0,2025-02-19 17:00:00,2025-08-07 11:00:00,2025-12-02 08:00:00,2026-01-02 17:00:00,2025-08-27 17:00:00,317,148,31,0,128,0.7058823529411765,1.0,0.5,0.49180327868852464,0.3,0.189873417721519,0.11764705882352941,0.16853932584269662,0.0625,0.08645533141210375,0.7450980392156863,0.37336065573770494,0.6279746835443037,0.3190019828155981,0.03604106628242075,47.71,12,High Engagement,rep_visit,True
6,Jeffery,Wagner,endocrinology,low_value,TERR_07,Boston,MA,clinic,1.7,False,Digital-Heavy,0.0,1.0,5.0,5.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.2,0.4,0.0,,2025-10-13 17:00:00,2025-11-13 17:00:00,2025-11-26 09:00:00,2025-06-23 15:00:00,,81,50,37,193,0.29411764705882354,0.44776119402985076,0.3125,0.37499999999999994,0.3,0.13452914798206278,0.058823529411764705,0.27027027027027023,0.0,0.0,0.3777875329236172,0.26875,0.11690582959641255,0.07170111287758346,0.0,20.12,420,Medium Engagement,rep_visit,True
7,Anthony,Gonzalez,primary_care,high_value,TERR_20,Memphis,TN,private_practice,0.7,False,Mixed,2.0,2.0,9.0,16.0,4.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,0.2222222222222222,0.75,0.5,2025-07-23 11:00:00,2025-09-30 11:00:00,2025-12-04 14:00:00,2025-11-25 11:00:00,2025-09-12 14:00:00,163,94,29,38,112,0.9411764705882353,0.4411764705882353,0.5625,0.5084745762711864,0.4,0.2112676056338028,0.11764705882352941,0.24193548387096778,0.125,0.15544041450777202,0.7455882352941177,0.3815560263653484,0.41225352112676056,0.08368121442125238,0.06858808290155441,40.53,84,High Engagement,rep_visit,True
8,Debra,Gardner,endocrinology,high_value,TERR_47,Sacramento,CA,private_practice,2.4,False,Mixed,6.0,11.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,0.16666666666666666,0.2727272727272727,0.0,1.0,0.0,2025-10-02 09:00:00,2025-12-15 14:00:00,2025-11-20 16:00:00,2025-04-04 12:00:00,2025-08-29 11:00:00,92,18,43,273,126,0.058823529411764705,0.09900990099009901,0.3125,0.410958904109589,0.4,0.1923076923076923,0.6470588235294118,0.625,0.375,0.24590163934426232,0.5374490390215493,0.1759417808219178,0.15846153846153846,0.45548128342245986,0.24501366120218576,33.32,205,Medium Engagement,rep_visit,True
9,Jeffrey,Lawrence,primary_care,high_value,TERR_42,Houston,TX,private_practice,3.1,False,Digital-Heavy,9.0,7.0,6.0,4.0,3.0,0.0,5.0,1.0,3.0,0.0,0.0,0.7142857142857143,0.16666666666666666,0.75,0.0,2025-12-18 08:00:00,2025-11-06 11:00:00,2026-01-01 13:00:00,2025-07-28 16:00:00,2025-08-11 12:00:00,15,57,1,158,144,0.23529411764705882,0.1595744680851064,0.375,0.9677419354838709,0.3,0.1724137931034483,0.4117647058823529,0.3448275862068966,0.5625,0.6666666666666666,0.4775031289111389,0.3893817204301075,0.12448275862068967,0.5496377861489423,0.3020833333333333,37.38,137,Medium Engagement,email,True
10,Lisa,Smith,dermatology,low_value,TERR_34,San Jose,CA,hospital,0.5,False,In-Person-Heavy,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2025-10-30 08:00:00,2025-12-30 12:00:00,2025-09-09 10:00:00,2025-12-19 08:00:00,2025-11-05 11:00:00,64,3,115,14,58,0.11764705882352941,0.6818181818181818,0.1875,0.2068965517241379,0.1,0.3409090909090909,0.29411764705882354,0.9090909090909091,0.0625,0.3191489361702128,0.6716577540106952,0.09762931034482758,0.09818181818181818,0.2700534759358289,0.08257978723404256,29.36,268,Medium Engagement,rep_visit,True
